case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
E,hospital floor,shortest_path,shortest_path,3,1513,78,276.6,150.68,210.56,137.3,62,96.2
E,hospital floor,shortest_path,shortest_path,4,1514,78,261.2,154.72,246.4,129.8,59,96.2
E,hospital floor,shortest_path,shortest_path,5,1515,78,269.4,198.44,252.36,133.6,65,96.2
E,hospital floor,shortest_path,shortest_path,6,1516,78,344.4,187.6,305.4,171.2,67,96.2
E,hospital floor,shortest_path,shortest_path,7,1517,78,317.4,175.88,260.2,157.9,62,96.2
E,hospital floor,shortest_path,shortest_path,8,1518,78,284.0,172.96,273.36,140.9,63,96.2
E,hospital floor,shortest_path,shortest_path,9,1519,78,188.8,135.04,199.8,93.2,62,96.2
E,hospital floor,shortest_path,shortest_path,10,1520,78,341.6,167.24,202.0,170.1,68,96.2
E,hospital floor,random_routing,stochastic,1,1521,78,467.6,199.48,172.8,232.6,70,96.2
E,hospital floor,random_routing,stochastic,2,1522,78,359.2,229.84,165.28,193.1,69,93.6
E,hospital floor,random_routing,stochastic,3,1523,78,240.2,204.2,170.84,129.6,68,78.2
E,hospital floor,random_routing,stochastic,4,1524,78,316.6,219.84,160.24,162.2,69,88.5
E,hospital floor,random_routing,stochastic,5,1525,78,286.6,210.38,168.72,152.9,71,87.2
E,hospital floor,random_routing,stochastic,6,1526,78,320.6,180.96,169.76,169.6,70,85.9
E,hospital floor,random_routing,stochastic,7,1527,78,373.4,182.16,156.36,185.5,67,96.2
E,hospital floor,random_routing,stochastic,8,1528,78,307.4,248.66,180.48,169.8,74,94.9
E,hospital floor,random_routing,stochastic,9,1529,78,380.0,197.2,157.56,189.0,73,96.2
E,hospital floor,random_routing,stochastic,10,1530,78,392.2,219.36,154.0,211.5,74,94.9
E,hospital floor,density_aware,least_crowded,1,1531,78,241.2,171.36,170.08,119.6,66,96.2
E,hospital floor,density_aware,least_crowded,2,1532,78,276.6,161.36,193.64,137.3,65,96.2
E,hospital floor,density_aware,least_crowded,3,1533,78,290.0,198.4,222.16,143.8,67,96.2
E,hospital floor,density_aware,least_crowded,4,1534,78,248.0,137.84,149.28,123.2,64,96.2
E,hospital floor,density_aware,least_crowded,5,1535,78,343.6,171.72,221.28,170.8,69,96.2
E,hospital floor,density_aware,least_crowded,6,1536,78,252.2,168.28,195.84,125.1,65,96.2
E,hospital floor,density_aware,least_crowded,7,1537,78,221.8,150.24,153.36,109.9,64,96.2
E,hospital floor,density_aware,least_crowded,8,1538,78,329.8,153.96,182.68,163.5,67,96.2
E,hospital floor,density_aware,least_crowded,9,1539,78,234.6,139.36,103.68,116.3,69,96.2
E,hospital floor,density_aware,least_crowded,10,1540,78,228.4,145.56,135.72,113.6,65,96.2
E,hospital floor,peopleflow_guided,guided,1,1541,78,569.2,299.16,524.2,299.2,73,94.9
E,hospital floor,peopleflow_guided,guided,2,1542,78,509.2,412.2,512.92,253.8,71,96.2
E,hospital floor,peopleflow_guided,guided,3,1543,78,571.4,320.56,514.84,285.1,75,96.2
E,hospital floor,peopleflow_guided,guided,4,1544,78,460.0,312.8,496.0,236.6,75,93.6
E,hospital floor,peopleflow_guided,guided,5,1545,78,514.0,364.62,544.2,257.3,74,92.3
E,hospital floor,peopleflow_guided,guided,6,1546,78,575.8,346.84,513.68,286.9,74,96.2
E,hospital floor,peopleflow_guided,guided,7,1547,78,575.6,318.4,438.84,287.2,73,96.2
E,hospital floor,peopleflow_guided,guided,8,1548,78,455.2,308.44,490.88,226.6,75,96.2
E,hospital floor,peopleflow_guided,guided,9,1549,78,526.0,336.16,484.32,299.0,73,94.9
E,hospital floor,peopleflow_guided,guided,10,1550,78,526.0,261.88,507.28,298.8,77,93.6
F,shopping mall,shortest_path,shortest_path,1,1611,84,78.8,39.16,21.08,37.2,72,95.2
F,shopping mall,shortest_path,shortest_path,2,1612,84,85.2,43.54,22.4,40.4,70,95.2
F,shopping mall,shortest_path,shortest_path,3,1613,84,94.0,52.66,22.92,45.8,69,95.2
F,shopping mall,shortest_path,shortest_path,4,1614,84,138.0,40.52,31.88,67.4,71,95.2
F,shopping mall,shortest_path,shortest_path,5,1615,84,157.8,38.88,36.12,77.0,65,95.2
F,shopping mall,shortest_path,shortest_path,6,1616,84,97.0,52.32,30.48,46.5,73,95.2
F,shopping mall,shortest_path,shortest_path,7,1617,84,77.6,44.62,19.28,37.1,63,95.2
F,shopping mall,shortest_path,shortest_path,8,1618,84,65.8,40.58,22.76,31.3,73,95.2
F,shopping mall,shortest_path,shortest_path,9,1619,84,86.0,43.82,20.6,41.6,67,95.2
F,shopping mall,shortest_path,shortest_path,10,1620,84,108.8,41.4,29.64,52.6,65,95.2
F,shopping mall,random_routing,stochastic,1,1621,84,276.0,168.8,67.88,153.6,104,94.0
F,shopping mall,random_routing,stochastic,2,1622,84,233.2,125.48,70.48,165.9,108,91.7
F,shopping mall,random_routing,stochastic,3,1623,84,259.0,137.38,46.0,127.4,113,95.2
F,shopping mall,random_routing,stochastic,4,1624,84,196.0,121.24,29.2,96.1,107,95.2
F,shopping mall,random_routing,stochastic,5,1625,84,234.2,113.76,55.56,115.9,101,95.2
F,shopping mall,random_routing,stochastic,6,1626,84,259.6,126.08,58.32,130.8,109,89.3
F,shopping mall,random_routing,stochastic,7,1627,84,193.8,121.62,29.68,95.0,107,95.2
F,shopping mall,random_routing,stochastic,8,1628,84,250.2,122.84,58.88,123.6,108,95.2
F,shopping mall,random_routing,stochastic,9,1629,84,255.8,134.44,57.0,156.3,115,94.0
F,shopping mall,random_routing,stochastic,10,1630,84,241.2,148.92,58.6,133.9,116,92.9
F,shopping mall,density_aware,least_crowded,1,1631,84,228.4,76.2,38.88,112.8,83,95.2
F,shopping mall,density_aware,least_crowded,2,1632,84,338.0,103.18,65.04,167.4,92,95.2
F,shopping mall,density_aware,least_crowded,3,1633,84,245.6,135.5,46.4,121.5,97,95.2
F,shopping mall,density_aware,least_crowded,4,1634,84,171.4,50.52,27.88,84.1,81,95.2
F,shopping mall,density_aware,least_crowded,5,1635,84,244.0,99.12,89.2,208.5,98,92.9
F,shopping mall,density_aware,least_crowded,6,1636,84,335.6,87.52,57.52,166.2,85,95.2
F,shopping mall,density_aware,least_crowded,7,1637,84,146.8,35.04,31.56,71.7,75,95.2
F,shopping mall,density_aware,least_crowded,8,1638,84,90.2,49.08,21.8,43.0,78,95.2
F,shopping mall,density_aware,least_crowded,9,1639,84,146.6,62.86,29.6,71.6,84,95.2
F,shopping mall,density_aware,least_crowded,10,1640,84,267.0,132.4,49.72,132.3,97,95.2
F,shopping mall,peopleflow_guided,guided,1,1641,84,212.2,153.32,127.8,112.7,118,70.2
F,shopping mall,peopleflow_guided,guided,2,1642,84,220.2,185.2,112.64,110.3,126,72.6
F,shopping mall,peopleflow_guided,guided,3,1643,84,265.0,167.08,144.88,132.5,127,79.8
F,shopping mall,peopleflow_guided,guided,4,1644,84,231.6,186.2,158.6,115.1,124,76.2
F,shopping mall,peopleflow_guided,guided,5,1645,84,246.4,163.36,119.92,123.9,125,79.8
F,shopping mall,peopleflow_guided,guided,6,1646,84,213.0,146.76,145.04,115.2,132,70.2
F,shopping mall,peopleflow_guided,guided,7,1647,84,211.2,164.2,161.52,114.4,129,72.6
F,shopping mall,peopleflow_guided,guided,8,1648,84,352.4,200.9,132.76,180.6,122,90.5
F,shopping mall,peopleflow_guided,guided,9,1649,84,223.0,189.52,159.76,119.6,126,76.2
F,shopping mall,peopleflow_guided,guided,10,1650,84,199.0,159.16,136.76,99.4,128,70.2
G,airport terminal,shortest_path,shortest_path,1,1711,88,410.6,32.48,242.2,297.9,60,94.3
G,airport terminal,shortest_path,shortest_path,2,1712,88,104.2,36.94,24.12,50.7,45,95.5
G,airport terminal,shortest_path,shortest_path,3,1713,88,186.8,40.62,73.88,92.4,49,95.5
G,airport terminal,shortest_path,shortest_path,4,1714,88,119.6,31.28,46.08,58.5,44,95.5
G,airport terminal,shortest_path,shortest_path,5,1715,88,176.0,40.94,69.48,86.5,46,95.5
G,airport terminal,shortest_path,shortest_path,6,1716,88,386.6,42.84,240.12,298.8,57,94.3
G,airport terminal,shortest_path,shortest_path,7,1717,88,298.2,38.52,237.96,298.9,53,94.3
